chain,country,pct_chain_n_1,pct_chain_n_2,pct_chain_n_3,a3,b3,L3,a4,b4,L4,a4',b4',L4',prevalence,LD,a,error_a,b,error_b,L,error_L,first_week_date
53 + 100,DK,0.0200752823086574,0.0380237345604262,0.0689025781428245,1.62952926675054,23.7352845969521,40153.018043119,1.2902033441801202,3.72941916923478,0.347427651034607,-0.33932592257042016,-20.00586542771732,-40152.67061546797,1,,1.52362462035326,0.0571631785880504,6.07990280993374,0.0658456404204811,0.971457013849466,0.005708662530313871,2021-01-03
105 + 123,DK,0.34279918864097303,0.682048915551453,0.8686398403724641,0.689119602973413,0.402161366550624,0.962241722124025,0.710576829317864,0.42123155813718394,0.972926090920652,0.02145722634445102,0.01907019158655998,0.010684368796626929,1,18.0,0.770322429200478,0.474708349167616,0.435209040918165,0.38399985867781394,1.03069227349852,0.20064425315477805,2021-06-27
151,DK,0.0218090311757304,0.0850597609561753,0.195210925077167,0.7264525606653092,1.90356371378853,0.36843879137641994,1.20876837446346,3.6703137879029,0.8680011845505871,0.482315813798151,1.76675007411437,0.499562393174167,1,33.0,1.30360217145964,0.22283265865454896,3.66934662949583,0.250372832307233,0.8490860706618101,0.0191499600084333,2021-12-19
216 + 257,DK,0.0572105619498984,0.178321678321678,0.35632670334320704,0.844309951245044,1.93829624821534,0.694042187441622,0.9837585290613091,2.3173606922398196,0.8286358405272941,0.13944857781626496,0.3790644440244799,0.13459365308567195,1,5.0,1.31962964484875,0.087735974256569,2.90323404796673,0.095646313769679,1.00414577319561,0.009517266253821679,2022-05-22
303 + 378 + 412,DK,0.0648670427074939,0.0568927789934354,0.0935162094763092,2.6716011437320497,34.1691660373716,17095.087381902198,2.12091279913607,3.3439042310603195,0.292979832349086,-0.5506883445959803,-30.825261806311282,-17094.794402069852,1,16.0,3.1572431228453497,0.20776420977555202,7.720827178150341,0.228613482602874,0.959076997935624,0.0112560241176962,2023-01-08
418,DK,0.35621521335807005,0.508064516129032,0.627450980392156,1.68758085440866,0.8600400340927841,0.9589082906152969,1.7459165621647799,0.9508638543657829,0.982615788108171,0.058335707756120174,0.09082382027299908,0.02370749749287393,1,42.0,1.67329411506647,0.0365093807590519,0.8786611325410971,0.0276934397807024,0.963578113107483,0.0039806512707483204,2023-11-12
52,DE,0.0915032679738562,0.111318118304611,0.16546762589928,2.9276758570516903,38.002621128300206,36501.6299321305,2.2844898291716804,32.5546009959683,108016.11624137199,-0.6431860278800099,-5.448020132331898,71514.4863092415,1,,2.14555050392131,0.14646078689840197,5.046907232957981,0.163711813723514,0.9395388666854989,0.0150778670723666,2021-01-17
130 + 150 + 161 + 177,DE,0.099144757681343,0.197127937336814,,1.27831963895281,3.0541192380985804,1.18025964579626,1.0926774914025401,2.3384329262022403,0.8895946978141691,-0.1856421475502701,-0.7156863118963401,-0.29066494798209097,1,16.0,1.00790447976658,0.30580182376574894,2.3404833561101803,0.41249885409824605,0.901362418531467,0.0556918469360803,2021-06-06
194 + 219,DE,0.0176136363636363,0.0369529001968802,0.0800058719906048,1.27814605294659,20.6959346793899,181472.423299463,1.2656734716520401,7.828274696310481,8.16010527714919,-0.012472581294550087,-12.867659983079418,-181464.26319418586,1,42.0,0.645618996989532,0.14899791569341597,3.26933272095178,0.17599577343968698,0.496429208284266,0.0265552168292307,2021-12-05
215,DE,0.0200417225450752,0.0441628826717445,0.0870329155441021,1.03843401516922,2.34795397427672,0.208121589834821,1.3402351791489298,3.6143493794300596,0.35852441505792,0.30180116397971,1.2663954051533401,0.15040282522309895,1,27.0,1.9467823749773898,0.041153413382874,6.6887234763817505,0.0491783651911572,0.9942243929859291,0.00551597025940761,2022-01-09
